City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
255,Dovers,VC,2021-01-11 19:45:20,12.8833,-61.1833,77.0,83,40,13.8
256,Vardo,NO,2021-01-11 19:45:20,70.3705,31.1107,17.6,86,75,24.16
257,Danville,US,2021-01-11 19:42:41,36.586,-79.395,46.0,57,90,4.61
258,Adre,TD,2021-01-11 19:45:21,13.4667,22.2,65.98,22,0,11.79
259,Kabo,CF,2021-01-11 19:45:21,7.6994,18.629,77.7,17,5,4.68
260,Sayyan,YE,2021-01-11 19:45:21,15.1718,44.3244,40.78,66,6,5.37
261,Kudahuvadhoo,MV,2021-01-11 19:45:21,2.6708,72.8944,80.98,75,83,11.39
262,Robertsport,LR,2021-01-11 19:45:21,6.7533,-11.3686,80.58,79,99,11.07
263,Coquimbo,CL,2021-01-11 19:45:09,-29.9533,-71.3436,69.8,52,0,16.11
264,Parainen,FI,2021-01-11 19:45:21,60.3067,22.301,35.01,86,75,13.8
265,Odweyne,SO,2021-01-11 19:45:21,9.4092,45.064,65.62,34,0,15.5
266,Minab,IR,2021-01-11 19:45:22,27.1467,57.0801,48.2,29,0,9.22
267,Annau,TM,2021-01-11 19:45:22,37.8876,58.516,41.0,48,0,6.91
268,San Luis,AR,2021-01-11 19:45:22,-33.295,-66.3356,77.36,38,5,22.37
269,Dalbandin,PK,2021-01-11 19:45:22,28.8947,64.4101,42.01,44,0,5.17
270,Villamontes,BO,2021-01-11 19:45:22,-21.25,-63.5,102.92,29,20,8.77
271,Iraquara,BR,2021-01-11 19:45:22,-12.2486,-41.6194,85.41,46,71,4.27
272,Laguna,US,2021-01-11 19:45:22,38.421,-121.4238,54.0,81,1,8.05
273,Tulsipur,NP,2021-01-11 19:45:23,28.131,82.2973,51.12,47,0,3.44
274,Angoche,MZ,2021-01-11 19:45:23,-16.2325,39.9086,82.27,79,5,12.1
275,Louis Trichardt,ZA,2021-01-11 19:45:23,-23.0439,29.9032,69.51,60,87,7.38
276,Mecca,SA,2021-01-11 19:45:01,21.4267,39.8261,74.03,41,0,6.49
277,Nosy Varika,MG,2021-01-11 19:45:23,-20.5833,48.5333,76.73,86,45,4.81
278,Aripuana,BR,2021-01-11 19:45:24,-9.1667,-60.6333,85.42,70,98,3.91
279,Gravdal,NO,2021-01-11 19:45:24,68.1214,13.5031,28.4,64,20,9.22
280,Kasane,BW,2021-01-11 19:45:25,-17.8167,25.15,71.78,86,100,3.58
281,Chiredzi,ZW,2021-01-11 19:45:25,-21.05,31.6667,75.11,85,39,6.33
282,Calatayud,ES,2021-01-11 19:45:25,41.3535,-1.6432,35.6,69,0,4.61
283,San Lorenzo,PY,2021-01-11 19:45:25,-25.3333,-57.5333,95.0,52,20,13.8
284,Sept-Iles,CA,2021-01-11 19:45:25,50.2001,-66.3821,23.0,68,3,5.75
285,Male,MV,2021-01-11 19:45:26,4.1748,73.5089,82.4,83,75,11.5
286,Stornoway,GB,2021-01-11 19:45:26,58.2093,-6.3865,33.8,93,75,3.44
287,Komatipoort,ZA,2021-01-11 19:45:27,-25.4332,31.9548,75.2,83,0,2.3
288,Sierpc,PL,2021-01-11 19:45:27,52.8568,19.6691,28.13,95,53,11.81
289,Calabar,NG,2021-01-11 19:45:27,4.9517,8.322,79.09,82,0,4.27
290,Parana,AR,2021-01-11 19:45:27,-31.732,-60.5238,71.6,78,90,14.97
291,Nouadhibou,MR,2021-01-11 19:45:28,20.931,-17.0347,68.0,52,100,17.27
292,Granada,ES,2021-01-11 19:45:23,37.25,-3.25,42.01,83,72,0.27
293,San Ramon,US,2021-01-11 19:40:41,37.7799,-121.978,57.99,58,1,6.91
